grupo_sustitucion,regla_grupo,descripcion_regla
ODO,ESCALABLE,"Basta una variante de Online Data Optimization por cuenta: se elige segun el tipo de sitio (con e-commerce, sin e-commerce o basic). Implementar dos es trabajo duplicado sobre la misma medicion."
C-GenIA,ESCALABLE,"Escalones de volumen (Basic 200 / Intermediate 500 / Advanced 1000 imagenes) y de facturacion (mensual / anual). Se entra por un escalon y se sube; los escalones iguales o inferiores quedan cubiertos."
ABCD Detector,ESCALABLE,"Escalones de volumen de video (Basic 20 / Pro 100 / Enterprise 500) y de facturacion. Mismo criterio que C-GenIA."
DCO,ESCALABLE,"Dynamic Conversion Optimization Basic / Intermediate / Advanced: es una escalera de sofisticacion, no tres productos."
CAPI Implementacion,EXCLUSIVO,"Rutas alternativas para implementar Conversions API (Gateway CSA, partner e-commerce, GTM/Tealium o codigo directo). Una cuenta implementa por una sola ruta."
META CAPI Gateway,ESCALABLE,"La version con Signals contiene a la version base: si ya esta la base, lo unico vendible es el upgrade."
META Catalogos,EXCLUSIVO,"Bulk upload, API o plataforma nativa son tres formas de resolver el mismo catalogo. Se elige una."
MMM,EXCLUSIVO,"MMM Lite, MMM completo, Nested (MMM+BEM) y Meridian son enfoques alternativos del mismo modelo de mix. Una cuenta corre un solo enfoque por ciclo."
Atribucion Digital,EXCLUSIVO,"MIM Bayesiano y Data Driven Attribution resuelven la misma pregunta de atribucion por caminos distintos. RBA va aparte porque tiene su propia escalera de contratos."
Investment Curves,ESCALABLE,"La corrida puntual y el update son el escalon de entrada; el contrato base con 4 canales y 2 updates los contiene."
RBA,ESCALABLE,"La corrida y el update son el escalon de entrada; el contrato base modelo + 3 updates los contiene."
TV Impact,ESCALABLE,"Corrida y update puntuales frente al contrato anual, que los contiene."
Geo Incrementalidad,EXCLUSIVO,"Geolift (Google) y Conversion Lift (META) miden incrementalidad geografica: se corre en la plataforma donde esta la inversion."
Shopping Feed,EXCLUSIVO,"Shopping Insider Clasic quedo reemplazado por Shopping Insider / Feed AI."
Conversiones Offline Google,EXCLUSIVO,"Subir conversiones offline desde CRM o desde BBDD es la misma integracion por dos fuentes."
Topic Mine,EXCLUSIVO,"Topic Mine y Topic Mind + DCO son el mismo motor con distinto empaque."
C- Perform,ESCALABLE,"El set up con 4 meses de acceso es la entrada; el acceso mensual es la continuidad."
