cuenta_normalizada,company,industria,tier_cuenta,servicio_normalizado,service_name,familia,subfamilia,pilar,modalidad,ticket_tipo,activo,grupo_sustitucion,regla_grupo,descripcion_regla,nivel,rol_en_grupo,etiqueta_rol,oportunidad_neta,cubierto_por,nivel_base,motivo_grupo,cobertura,etiqueta_cobertura,tipo_oportunidad,score,score_neto,prioridad,ranking_en_cuenta,valor_potencial_eur,valor_referencia_eur,valor_anual_eur,fuente_valor,modalidad_valor,c_demanda,c_afinidad,c_valor,c_momentum,c_adyacencia,score_base,factor_estado,factor_recencia,penetracion_pct,win_rate,momentum_pct,adopcion_industria_pct,cuentas_industria_ejecutan,cuentas_industria,basket_confianza_ejecutado,basket_lift_ejecutado,anclaje,n_pitches,n_perdidos,ultima_derrota,dias_desde_derrota,reactivable,ultimo_movimiento,motivo,accion_sugerida
TUA,TUA,Por clasificar,Emergente,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Recurrente,A cotizar,True,solo:Consulting Ad Hoc,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,76.7,76.7,A,1.0,3235.0,3235.17,3235.17,Historico CL,Valor cerrado en Chile,0.9,0.196,1.0,1.0,1.0,76.704,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.0,0.0,misma categoria de negocio (Ad Hoc Services),0.0,0.0,,,,,"La cuenta ya compra en Ad Hoc Services, la misma categoria; servicio con demanda activa en los ultimos meses.",Upsell directo sobre la categoria que ya compra
Parque Arauco,PARQUE ARAUCO,Real Estate & Malls,Estrategica,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Recurrente,A cotizar,True,solo:Consulting Ad Hoc,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,74.2,74.2,A,1.0,3235.0,3235.17,3235.17,Historico CL,Valor cerrado en Chile,0.9,0.406,1.0,1.0,0.6,74.161,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.636,1.17,mismo scope de servicio (Tech Consulting),0.0,0.0,,,,,Engancha por mismo scope de servicio (Tech Consulting); servicio con demanda activa en los ultimos meses.,Cross-sell apoyado en el equipo que ya atiende la cuenta
Indumotora,INDUMOTORA,Automotriz,Estrategica,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Recurrente,A cotizar,True,solo:Consulting Ad Hoc,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,67.8,67.8,A,1.0,3235.0,3235.17,3235.17,Historico CL,Valor cerrado en Chile,0.9,0.354,1.0,1.0,0.35,67.801,1.0,1.0,20.7,0.75,100.0,50.0,2,4,0.0,0.0,mismo pilar (CSA - Tech),0.0,0.0,,,,,2 de 4 cuentas de Automotriz ya lo ejecutan; engancha por mismo pilar (CSA - Tech); servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Esmax,ESMAX,Energia & Combustibles,Desarrollo,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Recurrente,A cotizar,True,solo:Consulting Ad Hoc,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,64.1,64.1,A,1.0,3235.0,3235.17,3235.17,Historico CL,Valor cerrado en Chile,0.9,0.328,1.0,1.0,0.2,64.133,1.0,1.0,20.7,0.75,100.0,50.0,2,4,0.0,0.0,,0.0,0.0,,,,,2 de 4 cuentas de Energia & Combustibles ya lo ejecutan; sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Inchcape Americas,INCHAPE AMERICAS,Automotriz,Desarrollo,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Recurrente,A cotizar,True,solo:Consulting Ad Hoc,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,62.1,62.1,A,1.0,3235.0,3235.17,3235.17,Historico CL,Valor cerrado en Chile,0.9,0.328,1.0,1.0,0.1,62.133,1.0,1.0,20.7,0.75,100.0,50.0,2,4,0.0,0.0,,0.0,0.0,,,,,2 de 4 cuentas de Automotriz ya lo ejecutan; sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
SMU,SMU,Retail Supermercados,Emergente,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Recurrente,A cotizar,True,solo:Consulting Ad Hoc,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,61.0,61.0,A,1.0,3235.0,3235.17,3235.17,Historico CL,Valor cerrado en Chile,0.9,0.093,1.0,1.0,0.35,61.021,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.0,0.0,mismo pilar (CSA - Tech),0.0,0.0,,,,,Engancha por mismo pilar (CSA - Tech); servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Porsche Group,PORSCHE GROUP,Automotriz,Desarrollo,BI Services,BI Services,Tech Consulting,Ad Hoc Services,CSA - Tech,Proyecto,A cotizar,True,solo:BI Services,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,60.8,60.8,A,1.0,266.0,266.1,266.1,Historico CL,Valor cerrado en Chile,0.299,0.154,1.0,0.968,1.0,60.785,1.0,1.0,3.4,0.5,100.0,25.0,1,4,0.0,0.0,misma categoria de negocio (Ad Hoc Services),0.0,0.0,,,,,"1 de 4 cuentas de Automotriz ya lo ejecutan; la cuenta ya compra en Ad Hoc Services, la misma categoria; servicio con demanda activa en los ultimos meses.",Upsell directo sobre la categoria que ya compra
Tenpo,TENPO,Fintech & Banca,Emergente,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Recurrente,A cotizar,True,solo:Consulting Ad Hoc,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,60.2,60.2,A,1.0,3235.0,3235.17,3235.17,Historico CL,Valor cerrado en Chile,0.9,0.252,1.0,1.0,0.1,60.162,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Gildemeister,GILDEMEISTER,Automotriz,Estrategica,People data fee Media,People data fee Media,Tech Consulting,FTE,CSA - Tech,Recurrente,A cotizar,True,solo:People data fee Media,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,59.9,59.9,A,1.0,10879.0,10879.470000000001,10879.470000000001,Historico CL,Valor cerrado en Chile,0.565,0.201,1.0,0.928,0.6,59.937,1.0,1.0,10.3,0.667,100.0,0.0,0,4,0.325,1.19,mismo scope de servicio (Tech Consulting),0.0,0.0,,,,,Engancha por mismo scope de servicio (Tech Consulting); servicio con demanda activa en los ultimos meses.,Cross-sell apoyado en el equipo que ya atiende la cuenta
Gasco,GASCO,Energia & Combustibles,Emergente,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Recurrente,A cotizar,True,solo:Consulting Ad Hoc,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,59.4,59.4,A,1.0,3235.0,3235.17,3235.17,Historico CL,Valor cerrado en Chile,0.9,0.225,1.0,1.0,0.1,59.45,1.0,1.0,20.7,0.75,100.0,50.0,2,4,0.0,0.0,,0.0,0.0,,,,,2 de 4 cuentas de Energia & Combustibles ya lo ejecutan; sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Copec Flux,COPEC FLUX,Energia & Combustibles,Estrategica,People data fee Media,People data fee Media,Tech Consulting,FTE,CSA - Tech,Recurrente,A cotizar,True,solo:People data fee Media,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,59.3,59.3,A,1.0,10879.0,10879.470000000001,10879.470000000001,Historico CL,Valor cerrado en Chile,0.565,0.176,1.0,0.928,0.6,59.285,1.0,1.0,10.3,0.667,100.0,0.0,0,4,0.325,1.19,mismo scope de servicio (Tech Consulting),0.0,0.0,,,,,Engancha por mismo scope de servicio (Tech Consulting); servicio con demanda activa en los ultimos meses.,Cross-sell apoyado en el equipo que ya atiende la cuenta
Enex,ENEX,Energia & Combustibles,Desarrollo,People data fee Media,People data fee Media,Tech Consulting,FTE,CSA - Tech,Recurrente,A cotizar,True,solo:People data fee Media,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,59.3,59.3,A,1.0,10879.0,10879.470000000001,10879.470000000001,Historico CL,Valor cerrado en Chile,0.565,0.176,1.0,0.928,0.6,59.285,1.0,1.0,10.3,0.667,100.0,0.0,0,4,0.325,1.19,mismo scope de servicio (Tech Consulting),0.0,0.0,,,,,Engancha por mismo scope de servicio (Tech Consulting); servicio con demanda activa en los ultimos meses.,Cross-sell apoyado en el equipo que ya atiende la cuenta
Claro,CLARO,Telco,Estrategica,BI Services,BI Services,Tech Consulting,Ad Hoc Services,CSA - Tech,Proyecto,A cotizar,True,solo:BI Services,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,58.8,58.8,A,1.0,266.0,266.1,266.1,Historico CL,Valor cerrado en Chile,0.299,0.076,1.0,0.968,1.0,58.757,1.0,1.0,3.4,0.5,100.0,0.0,0,3,0.0,0.0,misma categoria de negocio (Ad Hoc Services),0.0,0.0,,,,,"La cuenta ya compra en Ad Hoc Services, la misma categoria; servicio con demanda activa en los ultimos meses.",Upsell directo sobre la categoria que ya compra
Porsche Group,PORSCHE GROUP,Automotriz,Desarrollo,People data fee Media,People data fee Media,Tech Consulting,FTE,CSA - Tech,Recurrente,A cotizar,True,solo:People data fee Media,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,58.6,58.6,A,2.0,10879.0,10879.470000000001,10879.470000000001,Historico CL,Valor cerrado en Chile,0.565,0.15,1.0,0.928,0.6,58.598,1.0,1.0,10.3,0.667,100.0,0.0,0,4,0.325,1.19,mismo scope de servicio (Tech Consulting),0.0,0.0,,,,,Engancha por mismo scope de servicio (Tech Consulting); servicio con demanda activa en los ultimos meses.,Cross-sell apoyado en el equipo que ya atiende la cuenta
PC Factory,PC FACTORY,Retail Electro,Emergente,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Recurrente,A cotizar,True,solo:Consulting Ad Hoc,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,58.5,58.5,A,1.0,3235.0,3235.17,3235.17,Historico CL,Valor cerrado en Chile,0.9,0.189,1.0,1.0,0.1,58.504,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
PJ Chile SpA,PJ CHILE SPA,Food & QSR,Emergente,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Recurrente,A cotizar,True,solo:Consulting Ad Hoc,ACUMULABLE,Servicio sin sustitutos en el catalogo.,1,UNICO,Oportunidad unica,True,,,,BLANCO,Nunca ofrecido,Espacio blanco,58.5,58.5,A,1.0,3235.0,3235.17,3235.17,Historico CL,Valor cerrado en Chile,0.9,0.189,1.0,1.0,0.1,58.504,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.0,0.0,,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
