company,cuenta_normalizada,industria,grupo_economico,tier_cuenta,notas
CLARO,Claro,Telco,America Movil,Estrategica,
TELEFONICA,Telefonica,Telco,Telefonica,Estrategica,
WOM,WOM,Telco,WOM,Desarrollo,
GILDEMEISTER,Gildemeister,Automotriz,Gildemeister,Estrategica,
INDUMOTORA,Indumotora,Automotriz,Indumotora,Estrategica,
INCHAPE AMERICAS,Inchcape Americas,Automotriz,Inchcape,Desarrollo,Incluye Autoplanet.
PORSCHE GROUP,Porsche Group,Automotriz,Porsche,Desarrollo,
COPEC FLUX,Copec Flux,Energia & Combustibles,Copec,Estrategica,
ENEX,Enex,Energia & Combustibles,Quinenco,Desarrollo,
ESMAX,Esmax,Energia & Combustibles,Esmax,Desarrollo,
GASCO,Gasco,Energia & Combustibles,Gasco,Emergente,
PARQUE ARAUCO,Parque Arauco,Real Estate & Malls,Parque Arauco,Estrategica,
CRUZ VERDE,Cruz Verde,Retail Farmacia,SIF,Emergente,
SMU,SMU,Retail Supermercados,SMU,Emergente,
TRICOT,Tricot,Retail Vestuario,Tricot,Emergente,
PC FACTORY,PC Factory,Retail Electro,PC Factory,Emergente,
DECATHLON,Decathlon,Retail Deportes,Decathlon,Emergente,
LATAM AERLINES,LATAM Airlines,Travel & Aerolineas,LATAM,Desarrollo,
SKY AIRLINE,Sky Airline,Travel & Aerolineas,Sky,Emergente,
TENPO,Tenpo,Fintech & Banca,Credicorp,Emergente,
POLLA,Polla Chilena,Juegos & Entretenimiento,Polla,Emergente,
VERISURE,Verisure,Servicios Hogar & Seguridad,Verisure,Desarrollo,
WATTS,Watts,CPG Alimentos,Watts,Desarrollo,
LACTALIS,Lactalis,CPG Alimentos,Lactalis,Emergente,
RECKITT,Reckitt,CPG Cuidado Personal,Reckitt,Emergente,
PJ CHILE SPA,PJ Chile SpA,Food & QSR,PJ Chile,Emergente,
GAES,GAES,Salud,Amplifon,Emergente,
ESCUELA DE COMERCIO Y SERVICIO,Escuela de Comercio y Servicio,Educacion,Independiente,Emergente,
TUA,TUA,Por clasificar,Por clasificar,Emergente,Completar industria y grupo economico.
