service_name,servicio_normalizado,label_corto,familia,subfamilia,pilar,modelo_comercial,ticket_tipo,en_catalogo,notas
Consulting Ad Hoc,Consulting Ad Hoc,Consulting Ad Hoc,Consultoria & Ad Hoc,Consultoria Estrategica,CSA - Tech,Proyecto,Bajo,SI,Puerta de entrada. Alta frecuencia y bajo ticket.
Tech Services Ad Hoc,Tech Services Ad Hoc,Tech Services Ad Hoc,Consultoria & Ad Hoc,Servicios Tech,CSA - Tech,Proyecto,Bajo,SI,Bolsa de horas tecnicas.
Science Ad Hoc,Science Ad Hoc,Science Ad Hoc,Consultoria & Ad Hoc,Servicios Science,CSA - Science,Proyecto,Medio,SI,Bolsa de horas de data science.
CAPI x Gateway by CSA - look for special ratecard,CAPI x Gateway,CAPI x Gateway,Data Collection & Activacion,Server-Side / CAPI,CSA - Tech,Recurrente,Bajo,SI,Anclaje tecnico recurrente. Alto win rate.
CAPI Automated Offline Integration with CRM,CAPI Offline CRM,CAPI Offline CRM,Data Collection & Activacion,Server-Side / CAPI,CSA - Tech,Proyecto,Medio,SI,Upsell natural sobre CAPI Gateway.
Performance Powered Conversions (ECL),Performance Powered Conversions (ECL),Perf. Powered Conv.,Data Collection & Activacion,Conversiones Avanzadas,CSA - Tech,Proyecto,Bajo,SI,Enhanced Conversions for Leads.
1PD Integration (until 15 sources) - Google,1PD Integration,1PD Integration,Data Collection & Activacion,First Party Data,CSA - Tech,Proyecto,Alto,SI,Requiere madurez de datos en la cuenta.
Online Data Optimization - sites with E-commerce,Online Data Optimization - E-commerce,ODO E-commerce,Analytics & Optimizacion Digital,Online Data Optimization,CSA - Tech,Proyecto,Medio,SI,Auditoria y remediacion de medicion en sitios transaccionales.
Online Data Optimization - sites without E-commerce,Online Data Optimization - No E-commerce,ODO sin E-commerce,Analytics & Optimizacion Digital,Online Data Optimization,CSA - Tech,Proyecto,Bajo,SI,Version para sitios sin transaccion.
Online Data Optimization - Basic,Online Data Optimization - Basic,ODO Basic,Analytics & Optimizacion Digital,Online Data Optimization,CSA - Tech,Proyecto,Bajo,SI,Version reducida de ODO.
SEO,SEO,SEO,Analytics & Optimizacion Digital,SEO,CSA - Tech,Proyecto,Alto,SI,Ticket alto y ciclo de venta largo.
Shopping Insider / Feed AI,Shopping Insider / Feed AI,Shopping Insider,Analytics & Optimizacion Digital,Retail & Feed,CSA - Tech,Proyecto,Bajo,SI,Solo aplica a cuentas con e-commerce y feed de productos.
BI Services,BI Services,BI Services,Analytics & Optimizacion Digital,Business Intelligence,CSA - Tech,Proyecto,Bajo,SI,Dashboards y visualizacion. Buen gancho para escalar.
