id_catalogo,pilar,scope,capability,origen,subfamilia,service_name,meses_estimados,costo_eur,min_revenue_eur,srp_eur,estado_catalogo,familia,activo,label_corto,grupo_sustitucion,nivel,modalidad,regla_grupo,descripcion_regla,es_singleton,ticket_tipo,servicio_normalizado,valor_referencia_eur,valor_anual_eur,fuente_valor,ticket_mediano_eur,n_observaciones
1,CSA - Science,CSA Science - Measurement & Attribution,Science,Global COE,Attribution,MIM Bayesiano,12.0,18024.909090909092,32868.95187165776,40000.0,Active,Measurement & Attribution,True,MIM Bayesiano,Atribucion Digital,1,Proyecto,EXCLUSIVO,MIM Bayesiano y Data Driven Attribution resuelven la misma pregunta de atribucion por caminos distintos. RBA va aparte porque tiene su propia escalera de contratos.,False,Alto,MIM Bayesiano,34347.655,34347.655,Historico CL,34347.655,2
2,CSA - Science,CSA Science - Measurement & Attribution,Science,Global COE,TV Impact,TV Impact per run,1.0,2446.25,4460.808823529412,5454.545454545454,Active,Measurement & Attribution,True,TV Impact per run,TV Impact,1,Proyecto,ESCALABLE,"Corrida y update puntuales frente al contrato anual, que los contiene.",False,Medio,TV Impact per run,5454.545454545454,5454.545454545454,SRP catalogo,,0
3,CSA - Science,CSA Science - Measurement & Attribution,Science,Global COE,TV Impact,TV Impact per update,1.0,889.5454545454545,1622.1122994652405,1999.9999999999998,Active,Measurement & Attribution,True,TV Impact per update,TV Impact,1,Proyecto,ESCALABLE,"Corrida y update puntuales frente al contrato anual, que los contiene.",False,Bajo,TV Impact per update,1999.9999999999998,1999.9999999999998,SRP catalogo,,0
4,CSA - Science,CSA Science - Measurement & Attribution,Science,Global COE,TV Impact,TV Impact Annual contract - Example with 1 Report per month,12.0,12231.249999999998,22304.04411764706,27090.90909090909,Active,Measurement & Attribution,True,TV Impact Anual,TV Impact,2,Anual,ESCALABLE,"Corrida y update puntuales frente al contrato anual, que los contiene.",False,Alto,TV Impact Anual,27090.90909090909,27090.90909090909,SRP catalogo,,0
5,CSA - Science,CSA Science - Measurement & Attribution,Science,Global COE,Investment Curves,Investment Curves (by conversion:channel),1.0,417.0727272727272,760.5443850267378,999.9999999999999,Active,Measurement & Attribution,True,Investment Curves,Investment Curves,1,Proyecto,ESCALABLE,La corrida puntual y el update son el escalon de entrada; el contrato base con 4 canales y 2 updates los contiene.,False,Bajo,Investment Curves,1271.18,1271.18,Historico CL,1271.18,1
6,CSA - Science,CSA Science - Measurement & Attribution,Science,Global COE,Investment Curves,Curves Update (by conversion:channel),1.0,208.5363636363636,380.2721925133689,545.4545454545454,Active,Measurement & Attribution,True,Curves Update,Investment Curves,1,Proyecto,ESCALABLE,La corrida puntual y el update son el escalon de entrada; el contrato base con 4 canales y 2 updates los contiene.,False,Bajo,Curves Update,545.4545454545454,545.4545454545454,SRP catalogo,,0
7,CSA - Science,CSA Science - Measurement & Attribution,Science,Global COE,Investment Curves,Curves Base contract: 4 channels/2 updates,6.0,3336.5818181818177,6084.3550802139025,7454.545454545454,Active,Measurement & Attribution,True,Curves Base,Investment Curves,2,Contrato,ESCALABLE,La corrida puntual y el update son el escalon de entrada; el contrato base con 4 canales y 2 updates los contiene.,False,Alto,Curves Base,6892.005,6892.005,Historico CL,6892.005,2
8,CSA - Science,CSA Science - Measurement & Attribution,Science,Global COE,RBA,RBA,2.0,8750.090909090908,15956.048128342245,19454.545454545452,Active,Measurement & Attribution,True,RBA,RBA,1,Proyecto,ESCALABLE,La corrida y el update son el escalon de entrada; el contrato base modelo + 3 updates los contiene.,False,Alto,RBA,19454.545454545452,19454.545454545452,SRP catalogo,,0
9,CSA - Science,CSA Science - Measurement & Attribution,Science,Global COE,RBA,RBA Update,1.0,2349.272727272727,4283.967914438502,5272.727272727272,Active,Measurement & Attribution,True,RBA Update,RBA,1,Proyecto,ESCALABLE,La corrida y el update son el escalon de entrada; el contrato base modelo + 3 updates los contiene.,False,Medio,RBA Update,5272.727272727272,5272.727272727272,SRP catalogo,,0
10,CSA - Science,CSA Science - Measurement & Attribution,Science,Global COE,RBA,RBA Base contract: model + 3 updates,12.0,15797.90909090909,28807.95187165775,35000.0,Active,Measurement & Attribution,True,RBA Base,RBA,2,Contrato,ESCALABLE,La corrida y el update son el escalon de entrada; el contrato base modelo + 3 updates los contiene.,False,Alto,RBA Base,35000.0,35000.0,SRP catalogo,,0
