id_pitch,company,cuenta_normalizada,industria,grupo_economico,tier_cuenta,nombre_pitch,service_name,servicio_normalizado,label_corto,familia,subfamilia,capability,origen,pilar,pilar_crm,discrepancia_pilar,modalidad,ticket_tipo,grupo_sustitucion,regla_grupo,nivel,srp_eur,activo,fase_cruda,estado,categoria,orden_estado,es_abierto,fecha_brief,fecha_resolucion,fecha_referencia,anio,trimestre,moneda_local,precio_moneda_local,tasa_cambio,precio_eur,costo_csa,bonificado,contacto,comentarios
P0112,CLARO,Claro,Telco,America Movil,Estrategica,CLARO: Feed GenAI 2025 - Chile,Shopping Insider / Feed AI,Shopping Insider,Shopping Insider,Data Management & Engineering,Feed Optimization,Tech,Google,CSA - Tech,CSA - Tech,False,Proyecto,Bajo,Shopping Feed,EXCLUSIVO,2,2090.9090909090905,True,10.Lost,Perdido,PERDIDO,6,False,2025-04-30,2025-06-30,2025-06-30,2025,2025Q2,CLP,5000000.0,1185.1,4219.05,847.0,False,,CAMILA LEAL
P0113,CLARO,Claro,Telco,America Movil,Estrategica,CLARO: Custom Bidding DV360 2025 - Chile,Custom Bidding,Custom Bidding,Custom Bidding,Tech Consulting,Custom Bidding,Tech,Google,CSA - Tech,CSA - Tech,False,Proyecto,Bajo,solo:Custom Bidding,ACUMULABLE,1,2090.9090909090905,True,10.Lost,Perdido,PERDIDO,6,False,2025-03-25,2025-07-27,2025-07-27,2025,2025Q3,CLP,8219970.0,1185.1,6936.1,909.0,True,,CAMILA LEAL
P0114,CLARO,Claro,Telco,America Movil,Estrategica,CLARO: Auditoría ObsPoint 2025 - Chile,Tech Services Ad Hoc,Tech Services Ad Hoc,Tech Services Ad Hoc,Tech Consulting,Ad Hoc Services,Tech,Latam COE,CSA - Tech,CSA - Tech,False,Recurrente,A cotizar,solo:Tech Services Ad Hoc,ACUMULABLE,1,,True,10.Lost,Perdido,PERDIDO,6,False,2025-06-09,2025-09-09,2025-09-09,2025,2025Q3,CLP,18620000.0,1185.1,15711.75,,False,,CAMILA LEAL
P0109,CLARO,Claro,Telco,America Movil,Estrategica,CLARO: GeoLift 2025 - Chile,Geolift,Geolift,Geolift,Measurement & Attribution,Geolift,Science,Global COE,CSA - Science,CSA - Science,False,Proyecto,Medio,Geo Incrementalidad,EXCLUSIVO,1,3909.0909090909086,True,10.Lost,Perdido,PERDIDO,6,False,2025-06-09,2025-09-30,2025-09-30,2025,2025Q3,CLP,4300000.0,1185.1,3628.39,1736.0,False,,CAMILA LEAL
P0111,CLARO,Claro,Telco,America Movil,Estrategica,CLARO: Performance Powered Conversions (ECL) 2025 - Chile,Performance Powered Conversions (ECL),Perf. Powered Conv.,Perf. Powered Conv.,Tech Consulting,Enhance Conversions,Tech,Google,CSA - Tech,CSA - Tech,False,Proyecto,Bajo,solo:Performance Powered Conversions (ECL),ACUMULABLE,1,2454.5454545454545,True,10.Lost,Perdido,PERDIDO,6,False,2025-07-24,2025-10-20,2025-10-20,2025,2025Q4,CLP,1935822.0,1185.1,1633.47,1091.0,True,,CAMILA LEAL
P0084,CLARO,Claro,Telco,America Movil,Estrategica,CLARO: MMM Meridian 2026 - Chile,Meridian Google Founds,Meridian,Meridian,Measurement & Attribution,MMM,Science,Google,CSA - Science,CSA - Science,False,Proyecto,Alto,MMM,EXCLUSIVO,2,63636.36363636363,True,6.Won,Ganado,GANADO,1,False,2026-02-11,2025-12-01,2025-12-01,2025,2025Q4,CLP,23367541.0,1185.1,19717.78,9245.0,True,,CAMILA LEAL
P0110,CLARO,Claro,Telco,America Movil,Estrategica,CLARO: C-GenAI 2025 - Chile,C-GenIA,C-GenIA,C-GenIA,Creative Testing,AI Content Creation,Creative Tech,Latam COE,CSA - Science,CSA - Tech,True,Proyecto,A cotizar,C-GenIA,ESCALABLE,2,,False,10.Lost,Perdido,PERDIDO,6,False,2025-08-27,2025-12-27,2025-12-27,2025,2025Q4,CLP,29997200.0,1185.1,25311.96,,False,,CAMILA LEAL
P0046,CLARO,Claro,Telco,America Movil,Estrategica,CLARO: Data Analyst Local 2026 - Chile,People data fee Media,People data fee Media,People data fee Media,Tech Consulting,FTE,BI Services,Latam COE,CSA - Tech,CSA - Tech,False,Recurrente,A cotizar,solo:People data fee Media,ACUMULABLE,1,,True,6.Won,Ganado,GANADO,1,False,2026-01-01,2026-01-01,2026-01-01,2026,2026Q1,CLP,15786516.0,1185.1,13320.83,,,Rodrigo Sahr,CAMILA LEAL
P0055,CLARO,Claro,Telco,America Movil,Estrategica,CLARO: Online Data Optimization 2026 - Chile,Online Data Optimization - sites with E-commerce,ODO E-commerce,ODO E-commerce,Tech Consulting,GA4,Tech,Google,CSA - Tech,CSA - Tech,False,Proyecto,Alto,ODO,EXCLUSIVO,1,7909.090909090908,True,6.Won,Ganado,GANADO,1,False,2026-01-22,2026-01-01,2026-01-01,2026,2026Q1,CLP,6555984.0,1185.1,5532.01,3305.0,False,,CAMILA LEAL
P0083,CLARO,Claro,Telco,America Movil,Estrategica,CLARO: FEE SA360 Diciembre 2025 - Chile,Licencias SA/DV360,Licencias SA/DV360,Licencias SA/DV360,Tech Consulting,Licencias,Consulting,Google,CSA - Tech,CSA - Tech,False,Licencia,A cotizar,solo:Licencias SA/DV360,ACUMULABLE,1,,True,6.Won,Ganado,GANADO,1,False,2026-02-11,2026-01-31,2026-01-31,2026,2026Q1,CLP,7197010.0,1185.1,6072.91,,False,,CAMILA LEAL
